,0,1,2,3,4
Timp1,-4.591005767746595e-05,-0.00046434192411409797,-0.00012915127995657575,-8.553405110988774e-05,-7.613634496821384e-05
Uxt,-0.00011937725548266498,-0.00039378139624260394,-4.807687329565002e-05,-5.6853556828828956e-05,-7.32487103879256e-05
Cnnm3,-0.000179882482027256,-0.00027666469883503924,-0.00013861278926213333,-9.804414729066286e-05,-0.00010110378770055998
Lman2l,-4.399975250552603e-05,-0.0003173248434612738,-0.00013794475348125957,-0.00010320513151538044,-7.717340937885856e-05
Mcm3ap,7.470226787547655e-05,-0.000235899745161,-0.00012605430036172728,-3.2376953349633506e-05,-4.3087573529696014e-05
Pcnt,0.00010625326551558146,-0.00029168301175484443,-0.00014326729723471312,-7.470671126404545e-05,-6.1995383426204e-05
Ftcd,5.113105293317384e-05,0.002163231524386588,0.0018626668819445285,0.0001920650212472422,-0.0002705772615228104
Mxd1,-5.728755387904554e-05,-0.00039338389533547294,-0.00012631184378246866,-9.513879924071202e-05,-6.976263541374796e-05
Gmcl1,-0.00023028356426353896,-0.00035094368134475345,-0.00013072731522026457,-4.807590932031096e-05,-7.54517884692602e-05
Snrnp27,-0.00030022049497321397,-0.0003484165198492121,-2.5277756660231527e-05,-6.969093069480258e-05,-7.872911670692071e-05
Oas1c,-4.635326738996416e-05,-0.00045814273738282644,-0.00012106636683405656,-8.439612925533575e-05,-7.619655195154801e-05
Ocrl,-6.989924406204301e-05,-0.00037139559018635953,-0.00013711394385667875,-9.205270416208914e-05,-7.187152252858864e-05
Calm1,0.0022098062775032217,0.0011987728445558017,0.00019976059098255152,0.00011832248157418199,1.60711466681492e-05
Agpat3,-0.0005444107139458972,0.001798811675128167,-0.0004932933462761084,-0.0004099408638163701,-5.981871300848855e-05
Slc26a3,-5.083353064366958e-05,-0.0004663291170713294,-0.0001287995317900152,-8.539419113275733e-05,-7.51355651607723e-05
Sema6b,-3.790313541629881e-05,-0.0004201361500389959,-0.00012697551300453635,-9.636269975245349e-05,-7.259318459619864e-05
Uhrf1,4.257647890571036e-05,-0.0004511179796018979,-0.00013057411491320108,-8.251610564466062e-05,-7.010356979241997e-05
Dpp9,-0.00028325899799760404,0.00013082200985291414,-0.00012958223147806666,-9.74084094991559e-05,-0.00015363808298139264
Ramp2,-3.5472185250902e-05,-0.00041257720990789295,-0.00012960688183685055,-9.873490998899249e-05,-7.765932465368825e-05
Lsr,0.0016339234631362275,0.0009895126365590348,7.147228994650041e-05,-0.00010120776422172965,-0.00018991815124509896
Gramd1a,2.7382748659841555e-05,-0.00035259902551394126,-2.7641400447161174e-07,-8.260278846708709e-05,-7.155841015803607e-05
Hpn,-0.0006653264750243298,0.002926135083596289,2.6297803329162833e-05,-0.0004461072827401145,6.483507358580303e-05
Gabrg1,-4.332421854031674e-05,-0.0004667098050099534,-0.00012862514139601826,-8.49564977918389e-05,-7.58737032385825e-05
Ckb,-5.967313486901065e-05,-0.0004060095605500303,-0.00012656804598123734,-9.144571790081464e-05,-7.996694133651228e-05
Sp1,0.000476751803029131,2.9531746803852095e-05,-0.00021885576295763935,4.6664963716550964e-05,-5.5124038622514505e-05
Itgb7,-4.6205754834976875e-05,-0.00043811646051532445,-0.00012637268154382225,-8.875627999386882e-05,-7.465702838315906e-05
Myg1,-0.00015642759771712596,-0.00032974118970442316,-9.261917205084829e-05,-8.683546024604014e-05,-8.034858437507276e-05
Rarg,-4.476039092410841e-05,-0.0003879246558594919,-0.00013289552192768993,-0.00010294318590465877,-7.638140436346194e-05
Pfdn5,-0.001954654976374697,-8.695477855066157e-05,0.0005105984505819956,0.00025118763057665154,-0.00010406555603912303
Efnb2,2.4726132125394926e-06,-0.0004119270715769031,-0.0001469341824030041,-9.123626747033817e-05,-7.250175443746349e-05
Rrp15,-4.816082213903788e-05,-0.0003994729791805516,-0.00013237759511984445,-8.276930812981552e-05,-7.246566699959987e-05
Rnd2,9.247387935812616e-05,-0.0003487392507913544,-0.0001081014370602323,-0.00011093453321688045,-8.89061201938517e-05
Srr,-0.00048184510344076995,0.0005495742618366102,-0.0002762185052573395,-0.00019838195938943709,-0.00017319560118618104
Sync,-4.654111849281423e-05,-0.00046247867339532935,-0.00013030329291995862,-8.605738160387193e-05,-7.729807835873126e-05
Fndc5,-7.009815771748792e-05,-0.0004452502675719144,-0.00013635269370824345,-9.250624973761894e-05,-7.85961848785963e-05
Acp5,-0.0002108405153819029,0.0003720704604127475,-7.291174933348751e-06,-0.00019977530004027205,-0.00010539143152743371
Cnn1,-3.372936078065017e-05,-0.0004630437491620908,-0.0001299812668659091,-8.382295904530553e-05,-7.718013326717447e-05
Fbxo9,-0.00026923688403421997,-1.0439637372098994e-06,-0.00014942246077116663,-5.172699988376727e-05,-5.7669754169509726e-05
Vps50,-2.7711897183395057e-05,-0.0003683016904092274,-0.0001255010992066737,-4.715706161570793e-05,-5.747557876063838e-05
Hars,-0.00013500452373230298,-0.00017295611486718075,-0.00015634452915731813,-8.583634544701009e-05,-6.662122199843104e-05
Zmat2,-0.0004008414722455728,-0.00017415723286498685,-7.728050827789868e-05,-0.00013787053808585154,-0.000108031503199899
Ube2c,-3.456315624803107e-05,-0.00045120823603957377,-0.0001284310145589222,-8.914377113624733e-05,-7.681245992714754e-05
Smg5,-5.8779877442365206e-05,-0.0001787419025482848,-0.00010470381737444642,-9.2511277856926e-05,-3.6241417126629963e-05
Cct3,-5.631270610367657e-05,0.0002356840573438082,-0.00013794090731956865,9.53426698775298e-05,2.2446409454722797e-05
