gene,0,1,2,3,4,5,6,7,8,9
Comt,0.0030350350874728755,0.006385069831714467,-0.006384853169505379,-0.010996607345769481,-0.000623504144898129,-0.008677424019717677,0.007126467455993374,-0.002912162565570616,0.010136235804627247,0.005126685335295451
Rtca,-0.00014009424738705193,-3.5893483441031744e-05,8.809686991923828e-05,-0.00017981212201819604,-0.000151211593394162,-0.00032400165986114996,-0.0010726498688669731,-0.000656278489075529,-0.000793984496712685,-0.0009450570226136129
Dbt,-0.0015303216420594987,8.380868514322137e-05,-0.0010074591047782738,0.0003826359104983393,0.0002904180869537851,0.006867581872901329,-0.00033164794865478934,-0.001507155648694474,-0.00017098654656901767,-0.0003324810341116946
Dazap2,-0.000285706199777976,-5.473232391784159e-05,-0.0012126314930728267,-0.0032342179836811827,0.0003004083186244751,-0.00034971659794510003,-0.0010128960991634792,-0.0017407809923207765,0.003251905556511332,-0.0019347583356536702
Mcts1,-0.00016361916465300493,-0.00026352715033358396,2.620850754174366e-05,-0.00013992628074948856,-0.000149743403436848,-0.0006976459642690397,-0.0001872600263560362,-0.00020284449080605081,-0.0009997825219275,-0.0007871580774450829
Trappc10,-0.00032430583388019693,-0.00036720392573159395,0.00036065908396267106,9.158100000745044e-05,-9.238658363842616e-05,0.0003406413037032621,-0.0009269840881804809,0.00026757552026446116,-0.0008050594314511365,-0.0005673946444393509
Ccm2,-0.00011696824459543903,-0.00021448981138982393,0.00013299440070016215,-0.00033058063990764046,-0.000156779224991569,-0.0004477703033105999,-0.0009231483566661691,-0.0008796854371491183,-0.0004861492691670101,-0.0010084134592538167
Tbrg4,-0.00022136234247590802,-0.00026441480065663906,9.91418749959612e-05,5.161537670905528e-05,-0.00012945607423286702,0.0001723331452756244,-0.0007588287696754962,-0.0008147817937284711,-7.3478915676305e-05,-0.0013193011926450927
Tmprss2,-0.0002926200065092271,-0.000125143131161451,4.396846481920849e-05,-0.0002260700727960122,-0.00012693527239497697,-2.461969040825009e-05,-0.0009507579780570827,-0.0005903618525850405,-0.00104292054403211,-0.0008781609561614078
Mx1,-0.000158662233283898,-4.330986003297628e-05,7.926281091779186e-05,-0.000252929161579402,-0.00017644889858897705,-0.0005571487607043139,-0.000995684656282667,-0.00021352055863471577,-0.0009910320696533547,-0.0008309536888749696
Ndufa9,0.00032752207244990194,-0.000177482416513008,-0.00011101913228690077,-0.00037148048257047586,-0.0002434461562829829,0.00211373636758711,0.002449112557078863,-0.003870954096869374,-0.00052487656861332,0.00034460783921002534
